"","TRACE","FILE","PROCESS","BYTES","COUNT"
"17"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2364:execute_write<-/Core/CacheDB/sqlitecachedb.py:562:update<-/Core/CacheDB/SqliteCacheDBHandler.py:821:updateTorrent<-/TrackerChecking/TorrentChecking.py:353:dbUpdateTorrents<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","other"," python",262272,32
"26"," <-/Core/CacheDB/sqlitecachedb.py:2437:_executemany<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2371:executemany<-/Core/CacheDB/SqliteCacheDBHandler.py:862:on_torrent_collect_response<-/community/search/community.py:472:on_torrent_collect_response<-/community/search/community.py:460:on_torrent_collect_request<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets<-/dispersy/endpoint.py:125:dispersythread_data_came_in<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","torrent"," python",245880,69
"10"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2364:execute_write<-/Core/CacheDB/SqliteCacheDBHandler.py:2320:_updateChannelVotes<-/Core/CacheDB/SqliteCacheDBHandler.py:2235:on_remove_vote_from_dispersy<-/community/allchannel/community.py:452:undo_votecast<-/dispersy/dispersy.py:4032:on_undo<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1932:on_messages<-/dispersy/message.py:123:_process_delayed_message<-/dispersy/dispersy.py:2326:handle_missing_messages<-/community/allchannel/community.py:418:on_votecast<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1877:_on_batch_cache_timeout<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner","temp_table"," python",213096,27
"16"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2364:execute_write<-/Core/CacheDB/sqlitecachedb.py:562:update<-/Core/CacheDB/SqliteCacheDBHandler.py:821:updateTorrent<-/Core/RemoteTorrentHandler.py:236:_has_torrent<-/Main/Utility/GuiDBHandler.py:122:wrapper<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","other"," python",188508,11
"71"," <-/lib/python2.7/shutil.py:66:copyfile<-/lib/python2.7/shutil.py:109:copy<-/Core/RemoteTorrentHandler.py:299:_write_to_collected<-/Core/RemoteTorrentHandler.py:266:_save_torrent<-/Core/RemoteTorrentHandler.py:257:do_schedule<-/Core/RemoteTorrentHandler.py:252:<lambda><-/Utilities/TimedTaskQueue.py:82:run<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","torrent"," python",172877,78
"5"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2364:execute_write<-/Core/CacheDB/SqliteCacheDBHandler.py:2320:_updateChannelVotes<-/Core/CacheDB/SqliteCacheDBHandler.py:2212:on_votes_from_dispersy<-/community/allchannel/community.py:418:on_votecast<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1877:_on_batch_cache_timeout<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","temp_table"," python",122940,15
"15"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2364:execute_write<-/Core/CacheDB/sqlitecachedb.py:562:update<-/Core/CacheDB/SqliteCacheDBHandler.py:701:_addTorrentToDB<-/Core/CacheDB/SqliteCacheDBHandler.py:553:addExternalTorrentNoDef<-/Core/CacheDB/SqliteCacheDBHandler.py:2570:on_torrents_from_dispersy<-/community/channel/community.py:379:_disp_on_torrent<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1932:on_messages<-/dispersy/message.py:123:_process_delayed_message<-/dispersy/dispersy.py:2326:handle_missing_messages<-/dispersy/dispersy.py:4166:on_dynamic_settings<-/dispersy/community.py:1341:dispersy_on_dynamic_settings<-/community/channel/community.py:1082:dispersy_on_dynamic_settings<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets","other"," python",122940,3
"29"," <-/Core/DecentralizedTracking/pymdht/core/state.py:33:save<-/Core/DecentralizedTracking/pymdht/core/controller.py:189:main_loop<-/Core/DecentralizedTracking/pymdht/core/minitwisted.py:136:run_one_step<-/Core/DecentralizedTracking/pymdht/core/minitwisted.py:97:run2<-/Core/DecentralizedTracking/pymdht/core/minitwisted.py:93:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","other"," python",112393,9
"22"," <-/Core/CacheDB/sqlitecachedb.py:2437:_executemany<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2371:executemany<-/Core/CacheDB/SqliteCacheDBHandler.py:2570:on_torrents_from_dispersy<-/community/channel/community.py:379:_disp_on_torrent<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1877:_on_batch_cache_timeout<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","temp_table"," python",106548,13
"61"," <-/dispersy/database.py:258:execute<-/dispersy/member.py:109:__init__<-/dispersy/dispersy.py:685:get_member<-/dispersy/conversion.py:1156:_decode_member_authentication<-/dispersy/conversion.py:1317:_decode_message<-/dispersy/conversion.py:1398:decode_message<-/dispersy/dispersy.py:2116:_convert_batch_into_messages<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets<-/dispersy/endpoint.py:125:dispersythread_data_came_in<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","temp_table"," python",73764,2
